"Data captured on:"	"25.08.2023 17:32:58"
"Gain setting:"	1
"Averaging frame frequency:"	0
"Edge width rising [s]:"	-1.503310E-3
"Edge width falling [s]:"	2.120636E-6


"Time [s]"	"Amplitude"
6.422000E-3	0.000000E+0
6.423000E-3	0.000000E+0
6.424000E-3	0.000000E+0
6.425000E-3	0.000000E+0
6.426000E-3	0.000000E+0
6.427000E-3	0.000000E+0
6.428000E-3	0.000000E+0
6.429000E-3	0.000000E+0
6.430000E-3	0.000000E+0
6.431000E-3	0.000000E+0
6.432000E-3	0.000000E+0
6.433000E-3	0.000000E+0
6.434000E-3	0.000000E+0
6.435000E-3	0.000000E+0
6.436000E-3	0.000000E+0
6.437000E-3	0.000000E+0
6.438000E-3	0.000000E+0
6.439000E-3	0.000000E+0
6.440000E-3	0.000000E+0
6.441000E-3	0.000000E+0
6.442000E-3	0.000000E+0
6.443000E-3	0.000000E+0
6.444000E-3	0.000000E+0
6.445000E-3	0.000000E+0
6.446000E-3	0.000000E+0
6.447000E-3	0.000000E+0
6.448000E-3	0.000000E+0
6.449000E-3	0.000000E+0
6.450000E-3	0.000000E+0
6.451000E-3	0.000000E+0
6.452000E-3	0.000000E+0
6.453000E-3	0.000000E+0
6.454000E-3	0.000000E+0
6.455000E-3	0.000000E+0
6.456000E-3	0.000000E+0
6.457000E-3	0.000000E+0
6.458000E-3	0.000000E+0
6.459000E-3	0.000000E+0
6.460000E-3	0.000000E+0
6.461000E-3	0.000000E+0
6.462000E-3	0.000000E+0
6.463000E-3	0.000000E+0
6.464000E-3	0.000000E+0
6.465000E-3	0.000000E+0
6.466000E-3	0.000000E+0
6.467000E-3	0.000000E+0
6.468000E-3	0.000000E+0
6.469000E-3	0.000000E+0
6.470000E-3	0.000000E+0
6.471000E-3	0.000000E+0
6.472000E-3	0.000000E+0
6.473000E-3	0.000000E+0
6.474000E-3	0.000000E+0
6.475000E-3	0.000000E+0
6.476000E-3	0.000000E+0
6.477000E-3	0.000000E+0
6.478000E-3	0.000000E+0
6.479000E-3	0.000000E+0
6.480000E-3	0.000000E+0
6.481000E-3	0.000000E+0
6.482000E-3	0.000000E+0
6.483000E-3	0.000000E+0
6.484000E-3	0.000000E+0
